customer_id,customer_name,email,phone,address,loyalty_points
C0001,Melissa Moore,traceyhubbard@yahoo.com,(972)757-2747,"43395 Maria Center
East Nancyton, NM 12500",255
C0002,Jerome Page,caitlinpowell@yahoo.com,830-584-6891x42822,"623 Shawn Flats Apt. 899
Carrollfort, MT 80417",177
C0003,Shelly Johnson,davidanderson@thornton-moran.com,530-077-1980,"92592 Huang View
Daniellechester, MT 38552",134
C0004,Latoya Barton,wherring@hess.com,(792)941-4527,"683 Miller Spur Suite 805
Kimberlymouth, SC 94401",393
C0005,Carol Brown,mark44@walls.info,(051)191-4495x207,"810 Jacqueline Views Apt. 431
New Jamesport, KS 11570",231
C0006,Jill Dyer,chengregory@johnson.com,(631)647-6762x6363,"23162 Jones Turnpike
South Kimberly, NC 29740",298
C0007,Lindsey Smith,zcarr@boyd-mckinney.com,127-554-7532x725,"79532 Kevin Parkways Apt. 636
Matthewsfurt, OH 00922",324
C0008,Gabriel Monroe,stephenslori@yahoo.com,721.899.7521,"21813 Paul Ford Apt. 632
South Christina, MI 21150",56
C0009,Rodney Mccann,garciacathy@hayes.com,+1-524-511-6554x50342,"6533 Robert Road Apt. 643
Port Bobby, MA 87992",337
C0010,Joshua Mccarty,sara22@morgan.com,(827)318-4106,"3720 Anna Fords
Stevenchester, NC 17279",479
C0011,Sara Anderson,sbrewer@robles-buck.org,001-167-722-0121x6914,"920 Richard Circle Apt. 963
Smithfurt, ND 16767",224
C0012,Travis Butler,samantha16@alexander.org,991-346-2874,"7072 Tricia Ridges
Stephenton, ID 77589",486
C0013,Adrian Fischer,anna76@gmail.com,001-526-422-1385x71586,"64315 Matthew Neck
Kelleybury, CA 64013",203
C0014,Miss Lisa Lee,mlang@brown-davis.com,702-527-3312x7615,"3033 Lynch Expressway
South Katelynfurt, HI 04244",140
C0015,Christina Turner,thompsonchristina@hotmail.com,001-315-233-9857x59784,"PSC 1179, Box 1136
APO AA 36455",419
C0016,Catherine Alvarez,stephen87@miller-williams.biz,001-409-924-3881x47210,"851 Wise Brooks Suite 006
Adamshire, HI 32513",234
C0017,Lori Johnson,wongcody@gmail.com,888.998.6659x535,"992 Mcdaniel Village
Taylorview, HI 92278",185
C0018,Rebecca Wilson,stephanie70@gmail.com,280.720.1802x1054,"14775 Douglas Keys
North Rose, HI 75768",246
C0019,Matthew Roth,smithmatthew@hotmail.com,+1-310-325-6895x63609,"9164 Morales Lane Suite 538
Ebonyfort, VA 26285",6
C0020,Ashley Moore,gregmccall@frazier.com,001-390-706-2319x2544,"2997 Barr Gardens Apt. 284
Port Richard, RI 87901",146
C0021,Amanda Harris,obenjamin@sanders.com,001-758-675-4847x85656,"95585 Jennifer Well Apt. 408
West Jennifer, IL 82065",49
C0022,Ernest Richardson,michaelmartin@ford-walter.com,001-403-746-6227x32931,"5865 Beck Lodge
Loriside, CT 37035",223
C0023,Sarah Mathis,martinbrandy@hotmail.com,882-927-1736x210,"2878 Jonathan Estates Apt. 458
West Williamtown, MN 63544",132
C0024,Lisa Simpson,zoesmith@yahoo.com,011.922.9355x11672,"3400 Ryan Springs
Michelletown, WI 80213",375
C0025,Judy Graham,williamssara@carr.biz,983-939-9794x12613,"77426 Jeff Manors Apt. 141
Lauraberg, DE 15273",418
C0026,Cassandra Bennett,rgraham@dawson-nielsen.com,001-224-452-7581x160,"38518 Diane Tunnel
Kimberlyborough, ID 36508",417
C0027,Charles Nelson,ajones@hopkins.biz,3563569151,"97319 Holloway Alley
Elizabethborough, ND 85536",163
C0028,Jacob Davis,zjames@brewer.org,974.360.5521x8470,"985 Richard Dam Suite 882
Jonesfort, NJ 98725",280
C0029,Amanda Nelson,whitney85@johnson.com,+1-228-957-1647x406,"07401 Laura Views Suite 697
East Michelleton, MS 34555",23
C0030,Kevin Ward,carrmichelle@yahoo.com,7124549277,"52151 Kerr Locks Apt. 592
Wagnerview, GA 74436",103
C0031,Beverly Wilson PhD,thomasphilip@simon-bray.biz,9526042921,"1534 Jackson Road
New Alejandra, HI 64024",489
C0032,Elizabeth Vincent,kmunoz@peterson.com,(878)265-2859x21131,"8598 Jason Circles Suite 676
Johnsonmouth, GA 34870",402
C0033,Elizabeth Houston,mahoneymichael@hotmail.com,730.654.5947,"271 Morrow Views
New Danielle, MD 18430",22
C0034,Brian Hoffman,wmccoy@gmail.com,047.637.0896x53954,"166 Rivera Port Suite 671
South Timothy, WV 28585",198
C0035,Mr. Robert Burnett,gregory95@james-williams.net,(243)156-2449,"529 Brenda Point
Walkerside, NJ 83632",243
C0036,Brian Jimenez,flemingjoseph@hotmail.com,(601)266-1193,"PSC 0984, Box 4810
APO AA 36742",182
C0037,George Mcdaniel,dennis19@martin-jordan.biz,+1-135-789-1229,"0877 Rios Mountains Suite 849
North Christopherborough, KY 84570",494
C0038,Christopher Cunningham,mayjasmine@gmail.com,001-907-438-0710,"828 Perez Passage Apt. 050
West Richard, FL 88331",161
C0039,Wendy Miller,garyclark@gmail.com,+1-093-273-8499x1258,"PSC 5914, Box 2667
APO AA 42933",419
C0040,Christina Walker,lorikelly@fitzgerald.com,9548394096,"55929 Newton Isle
Meganside, MT 19238",184
C0041,Brent Hawkins,rachel58@yahoo.com,(154)514-9250x096,"463 Stacey Pike
Walkertown, AL 38824",22
C0042,Thomas Kramer,vrollins@torres.com,6369740297,"93855 Buchanan Passage
Andrewberg, WY 09541",344
C0043,Claudia Miller,ahunt@yahoo.com,+1-100-126-6923,"USNV Walter
FPO AP 96526",318
C0044,Zachary Richards,dylansilva@bush.com,+1-810-066-4260x5683,"9390 Gardner Meadow
Mcdanielmouth, DE 69531",68
C0045,Corey Wilson,haley92@miller-johnson.com,593.067.8035x72933,"151 Crosby Pines Suite 618
East Robertfurt, AZ 08039",125
C0046,Sarah Johnson,rflores@yahoo.com,3145542296,"2749 Delgado Island
Denisestad, NM 05301",451
C0047,Nicole Harris,elizabeth32@hotmail.com,061-972-6366x287,"5305 Chelsea Pines Apt. 364
North Robert, RI 49361",321
C0048,David Davidson DVM,anthonyday@johns.biz,+1-509-833-8673x918,"643 Cooper Rest
Nicholasshire, VA 15309",9
C0049,Loretta Garcia,zerickson@smith-taylor.biz,224-051-2989,"37583 Theresa Terrace
Rubioville, FL 96631",411
C0050,Isaiah Wilcox,ycunningham@schneider.com,(864)052-0837,"09986 Nicholas Well Apt. 475
Melissachester, CA 55505",294
C0051,Kyle Freeman,nwilliams@adams.info,+1-946-039-4351x47540,"06497 Hays Spur Suite 592
Kylemouth, NC 27350",277
C0052,Margaret Henderson,obaker@hotmail.com,154-353-3336x184,"41258 Pennington Canyon Apt. 634
Lake Brittanytown, SC 42280",309
C0053,Meghan Barron,kevinlynch@gmail.com,+1-256-080-8614x38411,"318 Williams Loaf
Johnside, MI 73619",178
C0054,Yvette Reid,riverstimothy@hotmail.com,685.221.4427x43893,"862 Molina Brook
Johnland, NV 39163",151
C0055,Kimberly Velazquez,bakerjerry@gmail.com,735-645-1275,"60903 Dustin Flats Suite 651
Lake Johnland, HI 24022",496
C0056,Michael Burgess,michaeldavis@hotmail.com,217.675.9472x40617,"789 Ryan Passage
New Jennifer, KY 67986",356
C0057,Frank Warren,brendagonzalez@atkins.org,001-211-634-1694,"061 Flynn Plains
Port Brandonburgh, IA 47540",484
C0058,Lindsey Moore,velazquezanita@yahoo.com,+1-090-668-5332,"8393 Davis Spring
North Coreymouth, MS 82835",409
C0059,Edward Mccarthy,allentyler@hill-smith.com,+1-118-924-5783x6299,"5027 Amy Dale Suite 507
Carrstad, NH 31879",15
C0060,Robert Black,jonesashley@gmail.com,(520)521-8593,"938 John Ways
New Gregorymouth, WI 88890",132
C0061,Andrea Anderson,jvalencia@gmail.com,817-897-4591,"70020 Taylor Mews
Port Nicole, IL 22092",295
C0062,Peter West,juliacastillo@yahoo.com,064.853.9541,"12803 Deleon Street
Bensontown, NH 69021",153
C0063,Rebecca Melton,xsalazar@gmail.com,201.745.4705x535,"2731 Steven Islands
Boonefurt, MS 80386",189
C0064,Jacob Reyes,vincent73@hotmail.com,001-556-306-9846x9081,"2684 Sharon Mall Apt. 508
Phillipsfurt, NV 83671",312
C0065,Amanda Davis,ryan56@hotmail.com,062-120-8435x39136,"830 Hall Gateway Suite 466
Juantown, DC 80730",246
C0066,Kelly Greene,castillokelly@yahoo.com,401-746-3270x20290,"0987 Andres Stravenue Apt. 391
East Roger, SD 95422",40
